project_county_name,state,kabbage_loans,total_loans,state_code,state_name,county_code,county,fips_code,kabbage_percentage
ABBEVILLE,SC,8,324,45,South Carolina,1,Abbeville County,45001,2.4691358024691357
ACADIA,LA,8,1306,22,Louisiana,1,Acadia Parish,22001,0.6125574272588056
ACCOMACK,VA,1,462,51,Virginia,1,Accomack County,51001,0.21645021645021645
ADA,ID,51,11258,16,Idaho,1,Ada County,16001,0.45301119204121515
ADAIR,KY,2,962,21,Kentucky,1,Adair County,21001,0.2079002079002079
ADAMS,CO,146,7481,8,Colorado,1,Adams County,8001,1.9516107472263067
ADAMS,IL,7,2240,17,Illinois,1,Adams County,17001,0.3125
ADAMS,IN,2,563,18,Indiana,1,Adams County,18001,0.3552397868561279
ADAMS,MS,25,1096,28,Mississippi,1,Adams County,28001,2.281021897810219
ADAMS,OH,4,432,39,Ohio,1,Adams County,39001,0.9259259259259258
ADAMS,PA,5,1313,42,Pennsylvania,1,Adams County,42001,0.38080731150038083
ADAMS,WA,1,313,53,Washington,1,Adams County,53001,0.3194888178913738
AIKEN,SC,34,2415,45,South Carolina,3,Aiken County,45003,1.4078674948240166
ALACHUA,FL,156,5540,12,Florida,1,Alachua County,12001,2.815884476534296
ALBANY,NY,64,6413,36,New York,1,Albany County,36001,0.9979728676126618
ALBANY,WY,3,724,56,Wyoming,1,Albany County,56001,0.4143646408839779
ALBEMARLE,VA,26,1803,51,Virginia,3,Albemarle County,51003,1.4420410427066
ALCONA,MI,2,134,26,Michigan,1,Alcona County,26001,1.4925373134328357
ALCORN,MS,1,944,28,Mississippi,3,Alcorn County,28003,0.1059322033898305
ALEUTIANS EAST,AK,1,72,2,Alaska,13,Aleutians East Borough,2013,1.3888888888888888
ALEXANDRIA CITY,VA,155,4860,51,Virginia,510,Alexandria city,51510,3.189300411522634
ALLAMAKEE,IA,4,973,19,Iowa,5,Allamakee County,19005,0.41109969167523125
ALLEGAN,MI,9,1637,26,Michigan,5,Allegan County,26005,0.5497861942577886
ALLEGANY,MD,11,880,24,Maryland,1,Allegany County,24001,1.25
ALLEGANY,NY,5,393,36,New York,3,Allegany County,36003,1.2722646310432568
ALLEGHENY,PA,246,24345,42,Pennsylvania,3,Allegheny County,42003,1.0104744300677757
ALLEN,IN,66,6973,18,Indiana,3,Allen County,18003,0.9465079592714757
ALLEN,KS,6,421,20,Kansas,1,Allen County,20001,1.4251781472684086
ALLEN,KY,1,405,21,Kentucky,3,Allen County,21003,0.24691358024691357
ALLEN,LA,4,236,22,Louisiana,3,Allen Parish,22003,1.694915254237288
ALLEN,OH,5,1891,39,Ohio,3,Allen County,39003,0.26441036488630354
ALLENDALE,SC,1,226,45,South Carolina,5,Allendale County,45005,0.4424778761061947
ALPENA,MI,3,465,26,Michigan,7,Alpena County,26007,0.6451612903225806
AMELIA,VA,2,230,51,Virginia,7,Amelia County,51007,0.8695652173913043
AMHERST,VA,4,258,51,Virginia,9,Amherst County,51009,1.550387596899225
AMITE,MS,2,360,28,Mississippi,5,Amite County,28005,0.5555555555555556
ANDERSON,KS,1,436,20,Kansas,3,Anderson County,20003,0.22935779816513763
ANDERSON,KY,3,305,21,Kentucky,5,Anderson County,21005,0.9836065573770493
ANDERSON,SC,31,2921,45,South Carolina,7,Anderson County,45007,1.0612803834303322
ANDERSON,TN,14,961,47,Tennessee,1,Anderson County,47001,1.45681581685744
ANDERSON,TX,6,739,48,Texas,1,Anderson County,48001,0.8119079837618403
ANDREWS,TX,1,401,48,Texas,3,Andrews County,48003,0.24937655860349126
ANDROSCOGGIN,ME,10,1682,23,Maine,1,Androscoggin County,23001,0.5945303210463734
ANGELINA,TX,10,1527,48,Texas,5,Angelina County,48005,0.6548788474132285
ANNE ARUNDEL,MD,257,11750,24,Maryland,3,Anne Arundel County,24003,2.1872340425531918
ANOKA,MN,50,5853,27,Minnesota,3,Anoka County,27003,0.8542627712284299
ANTRIM,MI,2,357,26,Michigan,9,Antrim County,26009,0.5602240896358543
APACHE,AZ,3,210,4,Arizona,1,Apache County,4001,1.4285714285714286
APPLING,GA,3,516,13,Georgia,1,Appling County,13001,0.5813953488372093
APPOMATTOX,VA,3,253,51,Virginia,11,Appomattox County,51011,1.185770750988142
ARANSAS,TX,4,444,48,Texas,7,Aransas County,48007,0.9009009009009009
ARAPAHOE,CO,269,15751,8,Colorado,5,Arapahoe County,8005,1.707828074407974
